## Site Characteristics
Country     = 'USA'
Station     = 'NASA'
Description = 'NASA'
Source      = 'NASA'
Contact     = 'Peter Uithol'
Longitude = 5.5; Latitude = 52.0; Elevation = 10.65; AngstromA = 0.15670436187399028; AngstromB = 0.5593665113746742; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
19830701,24880.0,9.04,17.89,1.218123115165027,2.32,0.57,NaN
19830702,10730.0,10.34,20.41,1.4081225840744602,3.05,0.15,NaN
19830703,22930.0,12.81,21.42,1.426791622589759,1.69,0.06,NaN
19830704,25700.0,11.89,24.08,1.5986048594252917,1.03,0.0,NaN
19830705,26030.0,13.4,25.68,1.8136462757016276,2.55,0.01,NaN
19830706,16559.999999999996,15.59,24.3,1.974876858198171,2.23,0.61,NaN
19830707,15980.0,17.0,25.62,2.1687692248009394,1.22,1.32,NaN
19830708,19550.0,17.05,23.57,2.143152914469288,1.5,1.11,NaN
19830709,10840.0,16.6,26.21,2.1458368403300843,2.07,0.61,NaN
19830710,21380.0,16.34,28.29,2.065287324309603,1.94,0.0,NaN
19830711,24800.0,17.2,29.98,2.1701248415136294,1.93,0.0,NaN
19830712,13970.0,15.37,27.98,2.1085282620433463,2.61,0.02,NaN
19830713,14720.0,11.28,22.34,1.537413793359947,3.45,0.03,NaN
19830714,25920.0,10.66,21.62,1.3293855162358132,1.73,0.0,NaN
19830715,24770.0,13.06,26.16,1.88315563965589,3.18,0.62,NaN
19830716,23720.0,16.46,26.34,1.997463445625654,1.94,0.42999999999999994,NaN
19830717,21780.0,15.13,28.55,2.0279305972231154,2.95,0.54,NaN
19830718,20200.0,15.83,24.43,1.94880879550462,3.13,0.3,NaN
19830719,10480.0,13.36,21.09,1.650152165823457,2.32,0.72,NaN
19830720,22000.0,9.94,17.97,1.1387866528898778,3.22,0.05,NaN
19830721,27650.0,9.63,19.85,1.219758201825509,1.84,0.0,NaN
19830722,26240.0,10.45,23.73,1.530410529908735,2.63,0.0,NaN
19830723,21490.0,13.91,25.88,1.8311014884153334,2.78,0.06,NaN
19830724,12740.0,15.94,23.15,1.93650171494479,1.33,5.03,NaN
19830725,24590.0,15.48,25.43,1.9072420812994948,1.1,0.38,NaN
19830726,8780.0,16.97,25.67,2.1351187550243726,1.99,2.34,NaN
19830727,14510.0,16.48,25.17,2.006308015597214,2.08,0.9099999999999999,NaN
19830728,19620.0,14.59,22.18,1.6544237564066975,2.84,0.04,NaN
19830729,20590.0,14.15,22.15,1.7108435536571478,2.81,0.14,NaN
19830730,20700.0,14.0,23.06,1.6597768810188067,1.79,0.04,NaN
19830731,19870.0,13.16,27.51,1.9145204415442287,2.51,0.02,NaN
19830801,5760.0,13.2,23.7,1.8879514935564898,4.6,3.18,NaN
19830802,21200.0,11.47,17.4,1.2663312198754275,2.64,1.8199999999999998,NaN
19830803,25780.0,10.04,19.75,1.2378719427994167,2.47,0.04,NaN
19830804,16670.000000000004,11.23,20.73,1.442830853880853,3.43,0.58,NaN
19830805,14650.0,13.26,18.52,1.3988687820573145,4.21,0.8399999999999999,NaN
19830806,12100.0,13.72,18.85,1.4958125343911377,4.13,2.03,NaN
19830807,18430.0,12.48,22.71,1.6490857808992643,1.82,0.27,NaN
19830808,21960.0,13.24,25.33,1.7780336591807981,2.47,0.0,NaN
19830809,18040.0,15.26,25.86,1.8879514935564898,3.2,0.01,NaN
19830810,12380.0,14.9,25.33,1.8067051290327527,3.17,0.06,NaN
19830811,22320.0,12.78,23.5,1.5616389849627375,2.62,0.03,NaN
19830812,14040.0,11.13,21.53,1.5036595191132556,3.06,0.35,NaN
19830813,14150.0,12.55,18.82,1.2816294892538997,3.69,0.25,NaN
19830814,14980.0,12.4,19.29,1.4399889496967868,1.19,0.47,NaN
19830815,24730.0,11.57,22.59,1.5414282732025102,2.2,0.0,NaN
19830816,21170.0,14.05,23.32,1.7341023536887146,3.43,0.06,NaN
19830817,10660.0,14.67,22.12,1.7860211842863394,2.31,1.29,NaN
19830818,24080.0,14.2,23.24,1.6900360483348649,1.57,0.1,NaN
19830819,22250.0,13.4,27.48,1.93650171494479,2.68,0.02,NaN
19830820,21530.0,17.09,26.61,2.0407448398747956,1.97,0.45999999999999996,NaN
19830821,11590.0,16.83,23.98,2.034328884901337,1.28,7.720000000000001,NaN
19830822,22030.0,15.84,24.18,1.8759818714071386,1.09,0.99,NaN
19830823,13140.0,14.79,24.52,1.8299332444264926,1.49,0.48,NaN
19830824,15660.0,14.86,23.74,1.8182866804855506,3.31,0.14,NaN
19830825,10330.0,14.83,25.45,1.9242627640802474,3.28,0.08,NaN
19830826,20810.0,12.88,23.42,1.7352167970089827,3.2,0.09,NaN
19830827,9680.0,11.58,21.87,1.5585926323859154,2.16,0.09,NaN
19830828,7380.0,11.64,19.7,1.4071947907078048,3.05,0.36,NaN
19830829,9430.0,10.94,20.13,1.298817882607785,2.27,0.0,NaN
19830830,17140.0,10.09,23.15,1.4938564142353266,1.84,0.04,NaN
19830831,19580.0,10.71,25.49,1.502676674025597,1.88,0.0,NaN
19830901,3640.0,15.05,21.86,1.7871648229331984,2.27,4.53,NaN
19830902,12960.0,13.66,21.23,1.502676674025597,4.56,0.10999999999999999,NaN
19830903,4390.0,13.01,17.26,1.4258530341737428,7.47,9.84,NaN
19830904,10440.0,12.24,17.91,1.348921407942187,5.61,1.53,NaN
19830905,12460.0,12.3,17.01,1.21160202659855,5.84,0.13,NaN
19830906,15410.0,9.92,16.9,1.089689775882094,4.36,0.37,NaN
19830907,14220.0,8.73,16.0,1.0101437042756123,3.72,0.52,NaN
19830908,11340.0,9.04,18.65,1.1906200090027819,3.14,1.48,NaN
19830909,8750.0,12.75,18.73,1.4118391324838375,3.84,2.16,NaN
19830910,8320.0,12.13,16.48,1.447578306514945,4.78,7.63,NaN
19830911,5400.0,10.33,13.24,1.2059212783089701,5.35,8.49,NaN
19830912,10480.0,11.15,14.85,1.3144603251256228,4.82,16.16,NaN
19830913,8060.000000000001,10.05,14.98,1.150389290268198,4.24,7.06,NaN
19830914,8710.0,11.39,18.17,1.5965312404187444,4.62,6.78,NaN
19830915,8530.0,12.91,19.65,1.498750930705772,5.25,3.89,NaN
19830916,5620.0,11.14,15.34,1.3205880622314234,5.9,6.84,NaN
19830917,8500.0,10.24,15.68,1.268869728307258,3.98,5.81,NaN
19830918,4430.0,10.03,14.61,1.3408991743307455,5.2,8.3,NaN
19830919,14900.0,11.11,17.4,1.2979536756541261,4.06,0.61,NaN
19830920,13000.0,9.76,17.08,1.2043025157681533,3.24,0.28,NaN
19830921,7130.0,9.78,18.07,1.336460516852367,3.31,4.82,NaN
19830922,14150.0,9.36,16.14,1.1605289052991803,3.43,0.71,NaN
19830923,15190.0,6.37,18.86,1.181839653038969,2.2,0.0,NaN
19830924,10120.0,10.41,22.07,1.484109459763443,3.95,1.22,NaN
19830925,14150.0,6.6,15.53,1.0446049426817505,1.52,0.0,NaN
19830926,13540.0,6.91,19.63,1.2816294892538997,1.85,0.0,NaN
19830927,8350.0,10.05,21.86,1.6079654151198155,1.56,0.06,NaN
19830928,6120.0,10.78,19.86,1.550494506369227,2.85,0.09,NaN
19830929,7520.0,10.45,22.04,1.530410529908735,1.79,0.08,NaN
19830930,10580.0,8.59,16.74,1.1723260866068486,3.64,0.06,NaN
19831001,8860.0,5.27,14.59,0.9814065388970683,3.5,0.01,NaN
19831002,6590.0,11.0,19.1,1.479256953260303,2.88,1.49,NaN
19831003,3600.0,11.07,19.93,1.6619223807933985,3.47,2.32,NaN
19831004,11300.0,13.82,23.44,1.8229374872543513,3.6,0.13,NaN
19831005,12490.0,13.25,17.85,1.3723341224664052,5.48,0.8999999999999999,NaN
19831006,7740.0,11.07,16.37,1.2824841359557417,4.23,0.31,NaN
19831007,2990.0,10.38,15.83,1.3417884585370332,4.73,3.65,NaN
19831008,4610.0,8.63,12.22,1.0808323746471178,5.4,8.1,NaN
19831009,4210.0,8.94,14.34,1.108348147323335,3.8,3.01,NaN
19831010,2590.0,10.46,15.67,1.385088231624996,5.61,4.27,NaN
19831011,6120.0,8.64,12.07,1.0247882299371598,5.13,3.33,NaN
