## Site Characteristics
Country     = 'USA'
Station     = 'NASA'
Description = 'NASA'
Source      = 'NASA'
Contact     = 'Peter Uithol'
Longitude = 4.5; Latitude = 52.5; Elevation = -0.25; AngstromA = 0.15670436187399028; AngstromB = 0.5593665113746742; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
19830701,24880.0,11.68,15.34,1.214858723144286,4.08,0.29,NaN
19830702,10730.0,12.93,16.36,1.4258530341737428,4.76,1.03,NaN
19830703,22930.0,13.44,16.76,1.3417884585370332,2.56,0.0,NaN
19830704,25700.0,13.38,19.21,1.5677473692068915,1.49,0.0,NaN
19830705,26030.0,14.38,22.08,1.737447567594711,2.59,0.0,NaN
19830706,16559.999999999996,16.29,21.44,1.865266112723933,2.98,0.6,NaN
19830707,15980.0,17.16,22.27,1.9848875767621699,1.4,0.9199999999999999,NaN
19830708,19550.0,15.86,19.48,1.866454098080866,1.99,0.13,NaN
19830709,10840.0,15.38,19.01,1.7986365602606806,3.06,0.09,NaN
19830710,21380.0,15.87,22.55,1.8724039745153962,2.69,0.0,NaN
19830711,24800.0,17.8,23.78,2.00377750325159,2.66,0.0,NaN
19830712,13970.0,15.5,20.23,1.8759818714071386,3.87,0.07,NaN
19830713,14720.0,13.69,18.14,1.549484841550674,4.88,0.03,NaN
19830714,25920.0,13.03,18.19,1.3516048407013632,3.14,0.0,NaN
19830715,24770.0,15.64,20.61,1.8759818714071386,4.83,0.10999999999999999,NaN
19830716,23720.0,16.51,20.68,1.7587656109858412,2.78,0.03,NaN
19830717,21780.0,15.77,23.64,1.8369525175140278,4.87,0.31,NaN
19830718,20200.0,16.25,19.77,1.8783704625066757,4.21,0.28,NaN
19830719,10480.0,15.16,17.79,1.5606229540548582,3.9,0.68,NaN
19830720,22000.0,13.04,15.97,1.195433434793776,4.93,0.05,NaN
19830721,27650.0,12.93,17.13,1.2511937120548535,2.81,0.0,NaN
19830722,26240.0,14.15,20.52,1.5636727883350108,3.78,0.0,NaN
19830723,21490.0,15.65,22.35,1.7791728136093212,3.93,0.04,NaN
19830724,12740.0,16.71,20.12,1.832270385933914,1.46,1.24,NaN
19830725,24590.0,16.71,22.29,1.800938636574188,1.77,0.33,NaN
19830726,8780.0,17.71,23.22,2.026653056130737,2.23,1.38,NaN
19830727,14510.0,16.33,20.02,1.8676427463291383,3.62,0.3,NaN
19830728,19620.0,15.67,18.33,1.570809416119869,4.14,0.25,NaN
19830729,20590.0,16.08,19.92,1.7598939372933469,4.39,0.7,NaN
19830730,20700.0,16.24,19.64,1.6490857808992643,2.86,0.01,NaN
19830731,19870.0,15.11,23.68,1.8915554027554298,3.34,0.08,NaN
19830801,5760.0,15.55,21.09,1.7940401438404578,6.4,4.0,NaN
19830802,21200.0,13.27,15.5,1.2663312198754275,4.37,1.67,NaN
19830803,25780.0,13.23,17.75,1.2765121142011402,3.53,0.09,NaN
19830804,16670.000000000004,14.83,18.41,1.5254253565328149,5.23,0.34,NaN
19830805,14650.0,15.25,17.31,1.434319884119691,6.43,0.4099999999999999,NaN
19830806,12100.0,15.42,17.21,1.4763521403092248,6.83,0.43999999999999995,NaN
19830807,18430.0,15.51,19.94,1.7263188059134271,2.52,0.17,NaN
19830808,21960.0,15.56,21.52,1.800938636574188,3.55,0.02,NaN
19830809,18040.0,16.42,21.97,1.8241018165750789,4.53,0.01,NaN
19830810,12380.0,16.03,20.71,1.7883091034046827,4.96,0.03,NaN
19830811,22320.0,15.27,19.38,1.5626555962954383,3.82,0.0,NaN
19830812,14040.0,14.41,18.54,1.5294123528754255,4.96,0.33,NaN
19830813,14150.0,14.61,17.42,1.3569857803790661,6.28,0.34,NaN
19830814,14980.0,14.92,18.57,1.4676677273020353,2.31,0.39,NaN
19830815,24730.0,15.62,20.81,1.7229923879460383,4.58,0.0,NaN
19830816,21170.0,17.05,20.0,1.8522419349703079,5.83,0.20999999999999996,NaN
19830817,10660.0,16.3,18.69,1.7871648229331984,2.77,1.6399999999999997,NaN
19830818,24080.0,15.31,20.18,1.633162384762762,3.01,0.01,NaN
19830819,22250.0,15.3,23.39,1.9181687371693017,4.22,0.0,NaN
19830820,21530.0,18.35,22.27,1.9673978629788926,2.92,0.03,NaN
19830821,11590.0,17.64,20.95,1.9181687371693017,2.35,7.3,NaN
19830822,22030.0,17.19,21.24,1.8999879717877968,1.74,0.14,NaN
19830823,13140.0,17.03,20.97,1.86407878994456,1.53,0.07,NaN
19830824,15660.0,16.61,19.73,1.8334399372925645,4.71,0.06,NaN
19830825,10330.0,16.19,21.54,1.9084534554069001,4.65,0.05,NaN
19830826,20810.0,15.75,19.52,1.639515484395813,4.93,0.05,NaN
19830827,9680.0,15.67,18.59,1.5565646290344208,3.12,0.26,NaN
19830828,7380.0,14.56,17.6,1.462862460646596,5.45,0.38,NaN
19830829,9430.0,14.78,17.79,1.370520555231493,4.41,0.02,NaN
19830830,17140.0,14.05,19.83,1.5394198847859009,2.59,0.02,NaN
19830831,19580.0,14.6,22.96,1.6976760057458251,2.94,0.01,NaN
19830901,3640.0,16.42,20.07,1.7928926496557014,3.63,2.95,NaN
19830902,12960.0,16.27,19.25,1.613186473410724,7.65,1.07,NaN
19830903,4390.0,15.32,17.26,1.460944225294001,11.58,14.77,NaN
19830904,10440.0,14.76,17.35,1.4062675343055455,9.11,2.21,NaN
19830905,12460.0,14.99,16.61,1.2486863221792912,9.5,0.05,NaN
19830906,15410.0,13.51,15.29,1.152722257597058,7.85,0.77,NaN
19830907,14220.0,12.64,14.89,1.1204365302548733,6.38,0.49,NaN
19830908,11340.0,12.99,17.75,1.332918891722861,5.5,2.6100000000000003,NaN
19830909,8750.0,15.29,17.58,1.5174787226056794,6.45,0.9099999999999999,NaN
19830910,8320.0,13.91,16.89,1.4324345559602742,7.06,7.76,NaN
19830911,5400.0,12.65,13.8,1.2850510825388508,7.2,13.599999999999998,NaN
19830912,10480.0,13.2,15.25,1.3293855162358132,8.05,11.02,NaN
19830913,8060.000000000001,12.23,14.12,1.2254962141884433,6.72,9.27,NaN
19830914,8710.0,13.96,17.56,1.6705287237498265,6.37,5.0600000000000005,NaN
19830915,8530.0,14.81,17.84,1.5555514960237653,8.53,6.92,NaN
19830916,5620.0,13.58,15.34,1.4025638730469563,8.07,13.32,NaN
19830917,8500.0,13.14,14.75,1.3109699920303324,5.74,5.82,NaN
19830918,4430.0,13.25,15.6,1.4494811248284514,8.37,9.52,NaN
19830919,14900.0,14.01,16.38,1.3100986824621805,7.66,0.58,NaN
19830920,13000.0,13.2,15.64,1.2765121142011402,5.71,0.55,NaN
19830921,7130.0,12.57,16.18,1.3942619445168092,4.69,7.809999999999999,NaN
19830922,14150.0,12.66,14.68,1.1511664840611047,5.01,0.37,NaN
19830923,15190.0,10.75,17.37,1.278215906569439,3.99,0.0,NaN
19830924,10120.0,12.58,17.79,1.5174787226056794,6.32,0.45999999999999996,NaN
19830925,14150.0,10.61,14.58,1.1091002945262443,3.29,0.0,NaN
19830926,13540.0,12.29,17.47,1.479256953260303,4.03,0.01,NaN
19830927,8350.0,13.97,17.8,1.6759275151426174,2.01,0.22999999999999998,NaN
